1,5028,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1080,1485,461,783,3095,3678,45,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,20,1,4,20557,2471,346,63,183,384,0,0,0,0,0,0,0,0,0,0,0,
3,306,34,1,2,329,0,81,2,252,11,286,4189,0,0,0,0,0,0,0,0,
3,744,59,872,2,7424,1544,888,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,703,9932,4341,8,402,1972,347,822,9932,823,823,0,0,0,0,0,0,0,0,0,
3,973,897,5,626,34,51,13384,100,0,0,0,0,0,0,0,0,0,0,0,0,
0,125,679,2213,11,11784,0,110,13,70,12654,31,0,102,21,11784,30,5,8100,0,0,
1,151,1108,338,2,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,405,815,16,10548,6,462,1125,33,3,0,0,0,0,0,0,0,0,0,0,0,
4,13,1,45,0,393,219,364,8,969,242,0,0,0,0,0,0,0,0,0,0,
0,1864,73,11,921,66,164,10,1,17,142,163,12,22,2,2297,0,0,0,0,0,
0,507,2984,22470,507,5233,2444,774,945,4,4212,14801,5008,4428,0,0,0,0,0,0,0,
3,992,226,5912,331,2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,2686,185,18,93,3752,134,1,0,3159,11875,2686,3752,1283,0,247,346,3559,0,0,0,
1,148,2383,2,2396,23,94,1411,81,451,2,15145,4,1642,3,4,5,52,0,0,0,
3,788,2675,37,122,28385,14212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,8,56,274,31,3295,8,56,274,11,1648,126,31,3295,98,4,201,6,0,0,0,
2,608,193,0,46,635,39,36,1041,127,0,46,23,2,608,193,2,41,565,0,0,
3,125,87,8,68,2197,59,1708,55,465,0,0,0,0,0,0,0,0,0,0,0,
1,20,61,297,5546,26,12222,38,1973,893,247,843,285,297,411,2736,173,5546,0,0,0,
1,20,1276,12,32246,20,1276,10,3,101,2493,148,12,32246,0,0,0,0,0,0,0,
2,987,78,302,1090,93,650,5744,544,32991,0,0,0,0,0,0,0,0,0,0,0,
0,555,1119,30445,12063,922,1256,44,477,3050,26595,0,2,654,8255,0,0,0,0,0,0,
3,20,3427,358,421,631,776,9,15,421,10,3,7264,0,0,0,0,0,0,0,0,
2,23,1337,4598,57,275,1295,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,105,555,1440,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,234,0,3177,3141,2078,95,1,17,22,29163,11,19357,1809,0,2078,11,135,0,0,0,
1,179,0,399,257,49,64,120,4,276,6,7,1,120,368,779,75,748,3224,3,1657,
0,1331,13130,0,457,8,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,3155,0,2573,3155,185,9222,319,5,859,820,81,2,630,81,2,0,0,0,0,0,
4,22,4139,0,69,54,9553,705,946,9553,705,10028,63,3,9553,0,0,0,0,0,0,
4,4420,0,110,133,556,13,1843,4420,238,53,10,37,141,1,11335,0,0,0,0,0,
3,1,3297,158,262,38,61,341,3297,26,12,7,2218,3817,0,0,0,0,0,0,0,
2,156,16,6458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,7800,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,804,151,9518,118,1,0,804,151,9518,241,280,15,0,157,589,0,0,0,0,0,
1,355,3061,53,297,3,59,1499,993,1484,358,7,131,256,5,223,0,0,0,0,0,
1,7574,1718,169,2140,592,131,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1176,29,8,303,1489,15,172,102,36,193,36,1140,0,0,0,0,0,0,0,0,
1,13647,5063,2035,25,315,145,129,52,10,0,0,0,0,0,0,0,0,0,0,0,
2,536,3,24,42,3,283,578,7375,497,3570,718,536,144,9990,1688,680,0,0,0,0,
0,1224,789,442,5,58,589,1216,12625,0,0,0,0,0,0,0,0,0,0,0,0,
3,4190,64,1476,2020,76,8200,12713,11492,272,587,12,346,0,0,0,0,0,0,0,0,
4,48,5531,938,19,19,13,34,4,2753,0,2078,13504,2417,0,0,0,0,0,0,0,
2,7,11348,2,645,5,9,212,28,2,645,13909,212,28,2,645,33578,0,0,0,0,
4,4332,0,252,323,8,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,26549,1791,1306,13,553,2700,72,7025,378,79,12865,119,7777,0,8207,0,0,0,0,0,
1,20,1,93,376,4364,288,435,2949,1,2,24,43,93,26648,80,1719,392,0,42,0,
2,1,606,45,24,144,3472,0,399,140,5153,1763,17,1625,1669,241,2,9224,0,0,0,
1,838,0,167,249,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,37,87,400,70,55,1741,403,4,2018,204,103,1952,198,10255,6,470,103,0,0,0,
0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,23,20,446,42,39,34,7111,34,134,1,2758,1945,1,0,15962,20647,34,15,12,0,
2,2445,13450,617,107,427,81,765,0,1902,38,541,243,0,1902,95,38,0,0,0,0,
3,692,1839,4,1557,37,12546,77,2544,31,221,3,24,234,386,0,0,0,0,0,0,
1,861,4,3964,805,1521,11625,244,8,3,861,4,3964,805,144,0,0,0,0,0,0,
0,44,115,4462,21209,0,2,62,91,5163,0,54,106,0,11666,0,0,0,0,0,0,
1,13,32762,46,53,2498,46,10,7,289,1154,3,65,3802,89,2498,1908,89,1162,81,0,
0,3952,629,304,907,714,2,289,907,121,907,3508,0,0,0,0,0,0,0,0,0,
2,20,1,0,32,1069,2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,20152,105,10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,47,3062,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6593,8,30,1,43,112,39,17,94,30,212,16,1317,1,6,317,2,123,0,0,
3,2,2,118,820,2,28,51,117,0,0,0,0,0,0,0,0,0,0,0,0,
1,9806,146,717,440,1342,0,28,65,55,0,0,0,0,0,0,0,0,0,0,0,
3,817,3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,608,193,7714,471,173,40,38,48,10,1,0,7714,608,3,1997,0,0,0,0,0,
4,5,2,778,8,456,11,5576,5,201,0,0,0,0,0,0,0,0,0,0,0,
1,861,2148,9569,3870,2,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,41,33,0,46,16,29073,29074,6,0,0,0,0,0,0,0,0,0,0,0,0,
4,639,139,1405,0,252,3507,6625,7,78,481,9,1,68,970,2321,15,4,0,0,0,
4,17,128,65,332,715,7,2296,0,194,8,715,6,245,3,8411,4737,194,23281,10,0,
3,9793,238,10349,305,2,3493,3,5,149,0,6292,0,0,0,0,0,0,0,0,0,
1,2772,2533,27,142,199,589,452,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,0,46,608,193,3,23,9523,14589,0,325,70,51,32,6038,2,5,167,9,0,
4,48,2119,68,234,844,929,188,465,68,266,1983,1774,7163,4,5928,234,466,352,0,0,
0,1,2,24,6699,387,5448,2394,8028,1055,0,1053,13,420,202,102,0,0,0,0,0,
3,16,454,267,65,6,4,480,83,3,55,543,19,19,0,0,0,0,0,0,0,
4,128,70,8,9,3791,70,85,9120,35,0,98,0,0,0,0,0,0,0,0,0,
2,19714,201,1,17,22,19714,11,0,201,25,307,12210,0,0,0,0,0,0,0,0,
2,407,4043,3523,108,63,4092,46,1785,145,1960,46,51,146,31873,0,4092,237,0,0,0,
4,1,17,22,234,1302,891,5,389,16,3121,0,0,0,0,0,0,0,0,0,0,
1,6063,29,82,220,6063,114,721,5,1847,102,60,312,11,1564,0,0,0,0,0,0,
0,5,153,2198,5742,439,166,9071,0,2198,518,5,38,199,2,8,838,0,0,0,0,
3,77,13424,316,10,16145,3,441,562,12,22,299,5,3,514,17,128,0,0,0,0,
4,13,630,1128,2465,0,8932,10592,2211,9,1,8,7,79,224,9,0,0,0,0,0,
2,588,33,0,663,1034,27,2444,127,46,588,33,3,145,6992,5,8,1290,640,0,0,
3,4287,618,10922,150,171,7941,15883,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1053,907,4803,1607,5,9,1,7,2611,620,341,442,159,1295,8918,7,0,0,0,0,
2,16,45,845,29,8399,0,1421,121,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,0,330,348,1618,1,419,2,25,7808,3,48,186,160,3852,0,1358,3852,0,580,
2,582,3120,0,28092,21,9466,1597,6,0,0,0,0,0,0,0,0,0,0,0,0,
2,1125,33,0,46,39,5,665,15294,83,0,0,0,0,0,0,0,0,0,0,0,
2,3293,9109,4,5,8063,6,280,0,15,3797,51,12,522,0,0,0,0,0,0,0,
4,272,722,9918,49,0,104,57,16,30,6,471,5454,1880,18,30,121,1547,79,1755,0,
0,2002,154,14,13473,5321,18,5076,22267,6,760,2394,1613,302,4927,0,0,0,0,0,0,
0,4194,3681,0,1,2,21,0,17076,0,415,2439,0,0,0,0,0,0,0,0,0,
1,1,0,14,55,3,1,2,598,4558,820,63,5,7292,361,6306,7292,0,0,0,0,
0,15,1480,7,396,20728,6,671,660,0,0,0,0,0,0,0,0,0,0,0,0,
2,77,278,106,258,3,34,4,10,98,0,0,0,0,0,0,0,0,0,0,0,
